Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-12-20,The Harder They Fall,2021,https://boxd.it/2nayKb,2.5,,,2021-12-19
2021-12-20,The Power of the Dog,2021,https://boxd.it/2neo2B,2.5,,,2021-12-19
2021-12-20,Eye in the Sky,2015,https://boxd.it/2nfukX,2.5,,,2021-12-19
2021-12-23,Marshall,2017,https://boxd.it/2nNKDJ,2.5,,,2021-12-22
2021-12-27,Don't Look Up,2021,https://boxd.it/2oJ1YD,2.5,,,2021-12-25
2021-12-27,Encanto,2021,https://boxd.it/2oJ289,3,,,2021-12-25
2021-12-27,The Birdcage,1996,https://boxd.it/2oJ0Al,5,Yes,,2021-12-26
2021-12-27,Dance of the Vampires,1967,https://boxd.it/2oJ0Ip,3,,,2021-12-26
2021-12-31,Benedetta,2021,https://boxd.it/2pMna1,3,,,2021-12-30
2022-01-01,The Matrix Resurrections,2021,https://boxd.it/2q0jFH,2,,,2021-12-31
2022-01-01,The Scary of Sixty-First,2021,https://boxd.it/2q134R,2,,,2021-12-31
2022-01-03,The Novice,2021,https://boxd.it/2qIjJ3,3,,,2022-01-02
2022-01-03,"OSS 117: Cairo, Nest of Spies",2006,https://boxd.it/2qIkfj,2.5,,,2022-01-02
2022-01-04,C'mon C'mon,2021,https://boxd.it/2r0HPZ,4,,,2022-01-03
2022-01-06,The Lost Daughter,2021,https://boxd.it/2rxJ1t,3.5,,,2022-01-05
2022-01-09,Outside In,2017,https://boxd.it/2si89T,3.5,,,2022-01-08
2022-01-09,Dune,2021,https://boxd.it/2sj1c9,4,Yes,,2022-01-08
2022-01-10,Come from Away,2021,https://boxd.it/2syVSP,2.5,,,2022-01-09
2022-01-15,Licorice Pizza,2021,https://boxd.it/2tR6g3,4,,,2022-01-14
2022-01-16,The Tragedy of Macbeth,2021,https://boxd.it/2u6EIl,3.5,,,2022-01-15
2022-01-18,The Card Counter,2021,https://boxd.it/2uy88h,3.5,,,2022-01-17
2022-01-18,Censor,2021,https://boxd.it/2uAzcz,2.5,,,2022-01-17
2022-01-19,Ron's Gone Wrong,2021,https://boxd.it/2uT2uX,2.5,,,2022-01-18
2022-01-19,The 400 Blows,1959,https://boxd.it/2uT2zj,3.5,,,2022-01-18
2022-01-29,A Hero,2021,https://boxd.it/2wRk3z,3.5,,,2022-01-28
2022-01-31,Toy Story 3,2010,https://boxd.it/2xhDJh,3.5,Yes,,2022-01-30
2022-01-31,Munich: The Edge of War,2021,https://boxd.it/2xjXMT,2.5,,,2022-01-30
2022-02-02,Possession,1981,https://boxd.it/2xMtfX,3,,,2022-02-02
2022-02-03,Pig,2021,https://boxd.it/2xMWQD,3,,,2022-02-02
2022-02-03,The Way Back,2020,https://boxd.it/2xNNJb,3,,,2022-02-02
2022-02-03,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/2xPEuP,,,,2022-02-02
2022-02-12,Flee,2021,https://boxd.it/2ztbdJ,4,,,2022-02-11
2022-02-13,Last Night in Soho,2021,https://boxd.it/2zGykz,2,,,2022-02-12
2022-02-13,Unbreakable,2000,https://boxd.it/2zNjcJ,2,,,2022-02-13
2022-03-01,The Gentlemen,2019,https://boxd.it/2CxPkF,1.5,,,2022-02-28
2022-03-01,22 July,2018,https://boxd.it/2CxPpb,2.5,,,2022-02-28
2022-03-08,7500,2019,https://boxd.it/2DVnIh,2.5,,,2022-03-07
2022-03-14,Turning Red,2022,https://boxd.it/2F23TR,2.5,,,2022-03-13
2022-03-18,Red Rocket,2021,https://boxd.it/2FLlSn,4,,,2022-03-17
2022-03-21,Fresh,2022,https://boxd.it/2GjUKr,3,,,2022-03-20
2022-03-21,Deep Water,2022,https://boxd.it/2Gle6D,,,,2022-03-20
2022-03-28,The Batman,2022,https://boxd.it/2HHLPz,2.5,,,2022-03-27
2022-03-31,Icarus,2017,https://boxd.it/2I7ORb,3.5,Yes,,2022-03-29
2022-04-01,Everything Everywhere All at Once,2022,https://boxd.it/2IlLIt,4.5,,,2022-03-31
2022-04-03,The Alpinist,2021,https://boxd.it/2IC9UZ,2.5,,,2022-04-01
2022-04-04,Windfall,2022,https://boxd.it/2IUK9d,,,,2022-04-03
2022-04-07,Black Crab,2022,https://boxd.it/2JqiFT,2,,,2022-04-06
2022-05-19,The Contractor,2022,https://boxd.it/2QPTKf,2,,,2022-05-16
2022-05-19,Everything Everywhere All at Once,2022,https://boxd.it/2QPTQn,4.5,Yes,,2022-05-17
2022-05-19,The Courier,2020,https://boxd.it/2QPTTV,2.5,,,2022-05-18
2022-05-22,The Constant Gardener,2005,https://boxd.it/2RnKNd,3,,,2022-05-21
2022-05-25,Little Big Man,1970,https://boxd.it/2S7yZD,3,,,2022-05-25
2022-05-26,The Dead Don't Die,2019,https://boxd.it/2SbDUV,,,,2022-05-25
2022-06-16,Kursk,2018,https://boxd.it/2VStt9,2.5,,,2022-06-15
2022-06-18,All the Old Knives,2022,https://boxd.it/2W91x7,1,,,2022-06-17
2022-06-18,RRR,2022,https://boxd.it/2WaCRF,3.5,,,2022-06-17
2022-06-18,Spiderhead,2022,https://boxd.it/2Wbmht,2.5,,,2022-06-17
2022-07-04,The Northman,2022,https://boxd.it/2ZdLJt,2.5,,,2022-07-03
2022-07-04,The Unbearable Weight of Massive Talent,2022,https://boxd.it/2ZlPAL,3,,,2022-07-03
2022-07-19,"Anne at 13,000 Ft.",2019,https://boxd.it/32dMZ5,3.5,,,2022-07-18
2022-07-20,Internal Affairs,1990,https://boxd.it/32qkFH,,,,2022-07-19
2022-07-25,The Gray Man,2022,https://boxd.it/33C16L,1.5,,,2022-07-24
2022-07-27,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/33R7dj,1.5,,,2022-07-26
2022-08-07,The Ghost Writer,2010,https://boxd.it/36qkQr,2.5,,,2022-08-05
2022-08-07,Dunkirk,2017,https://boxd.it/36ufhJ,3.5,Yes,,2022-08-06
2022-08-08,The Good Shepherd,2006,https://boxd.it/36IOx1,3,,,2022-08-07
